sample,site,label,distance_R1,lon,lat,location,,,data_sampled,,date_analysed,,metal,value_ug,value_mg,value
Con22_G3_W2,W2,,585,6684684,309322,Upper slag,8,0,14.09.2022,Water,13.10.2022,,As (mg/L),5,0.005,5
Con22_W2_Bulk,W2,,585,6684691.818,309315.925,Upper slag,1,0,15.09.2022,Water,13.10.2022,,Cu (mg/L),350,0.35,350
Con22_W2_Bulk,W2,,585,6684691.818,309315.925,Upper slag,1,1,15.09.2022,Water,13.10.2022,,Cu (mg/L),330,0.33,330
Con22_G1_W2,W2,,585,6684684,309322,Upper slag,7,0,13.09.2022,Water,13.10.2022,,Cu (mg/L),300,0.3,300
Con22_G3_W2,W2,,585,6684684,309322,Upper slag,8,0,14.09.2022,Water,13.10.2022,,Cu (mg/L),340,0.34,340
Con22_W2_Bulk,W2,,585,6684691.818,309315.925,Upper slag,1,0,15.09.2022,Water,13.10.2022,,Pb (mg/L),21,0.021,21
Con22_W2_Bulk,W2,,585,6684691.818,309315.925,Upper slag,1,1,15.09.2022,Water,13.10.2022,,Pb (mg/L),20,0.02,20
Con22_G1_W2,W2,,585,6684684,309322,Upper slag,7,0,13.09.2022,Water,13.10.2022,,Pb (mg/L),18,0.018,18
Con22_G3_W2,W2,,585,6684684,309322,Upper slag,8,0,14.09.2022,Water,13.10.2022,,Pb (mg/L),20,0.02,20
CON22_GP2_W1-2 ,W2,Con22_G2_W2,585,6684691.818,309315.925,,,,,,,,pH,6.87,6.87,6.87
CON22_GP3_W2 ,W2,Con22_G3_W2,585,6684691.818,309315.925,,,,,,,,pH,4.17,4.17,4.17
CON22_G4_W2 ,W2,Con22_G4_W2,585,6684691.818,309315.925,,,,,,,,pH,4.59,4.59,4.59
Con22_W2_Bulk,W2,,585,6684691.818,309315.925,Upper slag,1,0,15.09.2022,Water,13.10.2022,,Zn (mg/L),4000,4,4000
Con22_W2_Bulk,W2,,585,6684691.818,309315.925,Upper slag,1,1,15.09.2022,Water,13.10.2022,,Zn (mg/L),3800,3.8,3800
Con22_G1_W2,W2,,585,6684684,309322,Upper slag,7,0,13.09.2022,Water,13.10.2022,,Zn (mg/L),3500,3.5,3500
Con22_G3_W2,W2,,585,6684684,309322,Upper slag,8,0,14.09.2022,Water,13.10.2022,,Zn (mg/L),3800,3.8,3800
Con22_G1_W3,W3,,961,6684950,309058,Alwells's shaft,9,0,13.09.2022,Water,13.10.2022,,As (mg/L),48,0.048,48
Con22_G3_W3,W3,,961,6684950,309058,Alwells's shaft,10,0,14.09.2022,Water,13.10.2022,,As (mg/L),48,0.048,48
